Number of examples 53
Nearest Neighbor
37.0 0.0
21.0 0.0
10.0 0.0
19.0 0.0
38.0 0.0
11.0 0.0
43.0 0.0
10.0 3.0
20.0 0.0
10.0 0.0
19.0 0.0
109.0 96.0
697.0 649.0
1594.0 1557.0
13.0 2.0
49.0 11.0
21.0 0.0
5.0 33.0
44.0 0.0
7.0 0.0
33.0 5.0
10.0 0.0
24.0 5.0
17.0 4.0
15.0 5.0
17.0 4.0
26.0 0.0
10.0 0.0
12.0 1.0
10.0 0.0
22.0 1.0
24.0 0.0
657.0 620.0
660.0 617.0
640.0 603.0
681.0 633.0
1024.0 976.0
2770.0 2733.0
501.0 464.0
771.0 734.0
823.0 810.0
163.0 126.0
296.0 248.0
402.0 364.0
2283.0 2235.0
632.0 420.0
737.0 699.0
621.0 584.0
839.0 802.0
1137.0 519.0
1656.0 0.0
1052.0 0.0
2393.0 2356.0
